id,tweetText,tweetURL,type,tweetAuthor,handle,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL
1588965167827935232,4) Excited to see what happens on Tuesday!,https://x.com/SBF_FTX/status/1588965167827935232,tweet,SBF,@SBF_FTX,263,529,658,2033,-,41,2022-11-06 00:13:12,,
1588965166431232000,"3) If you want to contribute crypto, reach out to your elected officials and ask if they accept it; FTX is happy to sign them up!",https://x.com/SBF_FTX/status/1588965166431232000,tweet,SBF,@SBF_FTX,14,5,7,104,-,0,2022-11-06 00:13:11,,
1588965164921282561,"2) As part of this, @rsalame7926 and I signed up campaigns to accept crypto; and gave some, including millions to Senate &amp; House Republicans.",https://x.com/SBF_FTX/status/1588965164921282561,tweet,SBF,@SBF_FTX,16,29,15,112,-,10,2022-11-06 00:13:11,,
1588965163323265025,"1) I was a significant donor in both D and R primaries.

Supporting constructive candidates across the aisle to prevent pandemics and bring a bipartisan climate to DC.

And working with them to support permissionless finance.",https://x.com/SBF_FTX/status/1588965163323265025,tweet,SBF,@SBF_FTX,257,115,74,859,-,49,2022-11-06 00:13:11,,
1588962103557517313,"@pengyong321 just checked to make sure -- I can confirm that FTX is not a candidate in the midterm elections

our legal team informed us that companies are not permitted to run, and also that FTX is not the requisite 25 years old to run for congress anyway",https://x.com/SBF_FTX/status/1588962103557517313,tweet,SBF,@SBF_FTX,34,3,3,197,-,0,2022-11-06 00:01:01,,
1588847531173478401,"@sasuke___420 innovation, that is",https://x.com/SBF_FTX/status/1588847531173478401,tweet,SBF,@SBF_FTX,2,0,0,8,-,0,2022-11-05 16:25:45,,
1588847273525407744,@udiWertheimer oops,https://x.com/SBF_FTX/status/1588847273525407744,tweet,SBF,@SBF_FTX,4,1,1,30,-,0,2022-11-05 16:24:44,,
1588823156277800960,Max funding rates never really made sense to me.  If the fair rate is very negative then bounding funding rates just makes perps illiquid.,https://x.com/SBF_FTX/status/1588823156277800960,tweet,SBF,@SBF_FTX,54,3,19,316,-,7,2022-11-05 14:48:54,,
1588821957977702400,"@lex_node I once ate a grape and I

realized the tokens I like aren’t securities either

[NOT LEGAL ADVICE]",https://x.com/SBF_FTX/status/1588821957977702400,tweet,SBF,@SBF_FTX,21,1,5,89,-,3,2022-11-05 14:44:08,,
1588629522726780928,"@jay_ftx @BanklessHQ @ErikVoorhees I've read it waaay too many times

have a whole catalogue of things that are good and bad about it :P",https://x.com/SBF_FTX/status/1588629522726780928,tweet,SBF,@SBF_FTX,1,0,0,1,-,0,2022-11-05 01:59:28,,
1588596296642072576,"@TheStalwart ""value creators like oil/gas""

To some extent I agree, especially in an energy crunch, but this certainly doesn't square with the administration's rhetoric on oil and gas",https://x.com/SBF_FTX/status/1588596296642072576,tweet,SBF,@SBF_FTX,5,1,1,20,-,1,2022-11-04 23:47:26,,
1588586328828301312,@hbarsojourner @ErikVoorhees oh yeah 100% happy to do that!,https://x.com/SBF_FTX/status/1588586328828301312,tweet,SBF,@SBF_FTX,2,0,0,2,-,0,2022-11-04 23:07:49,,
1588585422086893568,We're excited to help return the assets quickly to customers,https://x.com/SBF_FTX/status/1588585422086893568,tweet,SBF,@SBF_FTX,225,49,72,649,-,10,2022-11-04 23:04:13,,
1588583956282486785,"@hbarsojourner @ErikVoorhees basically a sense of ""how reasonable, according to DC norms, is actor X being, and how much does that make me want to accommodate them?""",https://x.com/SBF_FTX/status/1588583956282486785,tweet,SBF,@SBF_FTX,3,0,0,0,-,1,2022-11-04 22:58:24,,
1588583505298325504,"@twobitidiot @ErikVoorhees oh yeah sorry 100% agree with that

I think the CT discourse on DeFi in general is super helpful

I think the specific targeting of the bill in a super public way less so (but again maybe I'm wrong!)",https://x.com/SBF_FTX/status/1588583505298325504,tweet,SBF,@SBF_FTX,6,0,1,11,-,0,2022-11-04 22:56:36,,
1588580581293846528,@robustus @ErikVoorhees hopefully we can avoid that,https://x.com/SBF_FTX/status/1588580581293846528,tweet,SBF,@SBF_FTX,2,0,0,2,-,0,2022-11-04 22:44:59,,
1588575362522353664,"@setanimals @ErikVoorhees *I* think I am!

But some others don't seem to think I am and I don't want to be presumptuous or put words in their mouth.",https://x.com/SBF_FTX/status/1588575362522353664,tweet,SBF,@SBF_FTX,4,0,0,2,-,0,2022-11-04 22:24:15,,
1588572946699759616,"@ErikVoorhees My strong instinct--as I predicted--is that this approach is in fact already predictably backfiring and causing the exact opposite reaction of what is desired.  But again, hopefully I'm wrong.",https://x.com/SBF_FTX/status/1588572946699759616,tweet,SBF,@SBF_FTX,13,0,1,21,-,0,2022-11-04 22:14:39,,
1588572750813466624,"@ErikVoorhees But it doesn't really matter what I think, it matters what you guys think, and how effective you guys are at getting your voices heard.

FWIW, word is that so far, the CT blowback has rallied *more* support on capitol hill behind regulating DeFi.  Hopefully rumors are wrong.",https://x.com/SBF_FTX/status/1588572750813466624,tweet,SBF,@SBF_FTX,9,2,0,29,-,1,2022-11-04 22:13:52,,
1588572440208150530,"@ErikVoorhees It depends on the final language, as I've said many times.

*If* the final language protects DeFi, then I'm strongly in favor of it passing this year.  If it doesn't, I'm not.

There are a few remaining language chocies that will be *very* relevant for its impact on DeFi.",https://x.com/SBF_FTX/status/1588572440208150530,tweet,SBF,@SBF_FTX,7,0,0,68,-,0,2022-11-04 22:12:38,,
1588349252664631296,"6) Annualizing this out, and netting out staking, you get something like:

Revenue: $2b
Expenses: $3.2b

Once again, the vast majority of expenses seem to be headcount--roughly 80%.

They have roughly $6b on hand.",https://x.com/SBF_FTX/status/1588349252664631296,tweet,SBF,@SBF_FTX,49,4,7,151,-,4,2022-11-04 07:25:46,,
1588349251209527298,"5) My reading of this is, roughly:

a) $145m of the difference is encumbered capital which will be returned
b) $100m or so of loss to FX moving

So something like a real loss of $400m, and a 'predictive' loss of $300m.",https://x.com/SBF_FTX/status/1588349251209527298,tweet,SBF,@SBF_FTX,23,0,3,89,-,1,2022-11-04 07:25:46,,
1588349249800273920,"4) Once again, partially ignore the staking revenue, it's likely mostly passing through to customers and offset by an expense item.

In terms of expenses and EBITDA--it's a little tricky to parse exactly.

They report $545m loss and adjusted EBITDA of $116m loss.",https://x.com/SBF_FTX/status/1588349249800273920,tweet,SBF,@SBF_FTX,2,0,4,26,-,0,2022-11-04 07:25:45,,
1588349248269357057,"3) Once again, the vast majority of their transaction revenue was retail -- around 95%.

Of their other revenue--now ~25% of their total--'interest income' is the most interesting one.  About $20m of this seems to be on Coinbase, and the other ~$80m of it from USDC.",https://x.com/SBF_FTX/status/1588349248269357057,tweet,SBF,@SBF_FTX,17,0,4,46,-,0,2022-11-04 07:25:45,,
1588349245974667265,"2) Overall, bear markets suck for retail.

Coinbase's revenue, and volume, were down a fair bit; their retail volume in particular was down ~45% quarterly.

(The flip side--lots of growth potential in the next bull market!) https://t.co/D20qtlxpPZ",https://x.com/SBF_FTX/status/1588349245974667265,tweet,SBF,@SBF_FTX,17,5,5,63,-,3,2022-11-04 07:25:44,https://pbs.twimg.com/media/Fgrv5AaWYAYSXZh.jpg,
